Серия,Блеск при 60 град,Условная вязкость,ΔE,ΔL,Δa,Цветовое различие между партиями ΔЕ d/8,Δb,Время сушки,"Пиковая температура металла, °С",Толщина  для грунта,Адгезия,Стойкость к растворителям,Визуальный контроль поверхности,Внешний вид,Количество выкрасок с партии,Unnamed: 16,Степень перетира,Твердого вещества по объему,Грунт,Толщина пленки жидк.,Толщина для эмали/лака/чернил,Теоретический расход,Прочность при изгибе,Стойкость к обратному удару,Твердость по карандашу,Прочность растяжения по Эриксену,Блеск,Плотность,Массовая доля нелетучих веществ
,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение,Значение
40444 от 21.03.25 до 21.09.25,,"120,00000",,,,,,"38,00000","249,00000","24,00000","1,00000","50,00000",Без дефектов,Белый цвет жидкого продукта,"1,00000",,,,,,,,,,,,,"1,19000","54,75000"
44813 от 14.10.25 до 14.04.26,"26,66000","66,00000","1,02400","-0,46200","-0,28300",,"0,87000","30,00000","232,00000","4,00000",,"110,00000",Без дефектов,,,"1,57050","29,50000","39,10227",РРМ 310,"12,78698","5,00000","14,70503",4,"3,00000",H,,,"1,15000","53,40000"
п.38783 от 10.01.25 до 10.01.26,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,"1,28000",
п.38804 от 13.01.25 до 13.01.26,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,"1,35000",
п.38809 от 30.01.25 до 30.01.26,,,,,,,,,,,,,,Соответствует,,,,,,,,,,,,,,"1,25000",
п.39057 от 10.01.25 до 10.07.25,"44,90000","110,00000","0,30700","0,17000","0,00100",,"0,25500","29,00000","232,00000","7,00000",,"120,00000",Без дефектов,,,"1,37830","24,00000","46,03188",РРМ 310,"38,59865","18,00000","41,59168","1,5","10,00000",H,"7,00000",,"1,07000","59,65000"
п.39066 от 29.01.25 до 29.01.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,15000","58,00000"
п.39073 от 10.01.25 до 10.07.25,"79,50000","82,00000","0,51700","-0,02700","0,43200",,"-0,28300","48,00000","232,00000",,,"100,00000",Сорность,,,"1,91871","14,00000","42,56327",,"32,89221","14,00000","43,48711","1,5","4,00000",F,,,"1,32211","61,76996"
п.39075 от 10.01.25 до 10.07.25,"39,20000","118,00000","0,28000","0,25100","0,01600",,"-0,12400","29,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,56810","26,00000","44,44063",РРМ 310,"40,50348","18,00000","46,00792","1,5","10,00000",H,"7,00000",,"1,15000","61,35000"
п.39079 от 09.01.25 до 09.07.25,"35,20000","90,00000","0,24100","-0,12200","0,17900",,"0,10500","28,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,59254","26,00000","44,24750",РРМ 310,"40,74703","18,00000","46,57321","1,5","10,00000",H,"7,00000",,"1,16000","61,55000"
п.39100 от 10.01.25 до 10.07.25,"42,10000","112,00000","0,26536","0,23564","0,01226",,"-0,12139","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,54051","28,00000","49,17750",РРМ 310,"36,22824","18,00000","42,69325","1,5","10,00000",H,"7,00000",,"1,16000","64,95000"
п.39101 от 09.01.25 до 09.07.25,"35,20000","90,00000","0,39300","0,13500","0,17700",,"-0,32400","29,00000","232,00000","5,00000",,"120,00000",Без дефектов,,,"1,60882","22,00000","42,87000",РРМ 310,"42,27337","18,00000","47,78665","1,5","10,00000",H,"7,00000",,"1,16000","60,60000"
п.39105 от 13.01.25 до 13.07.25,"51,10000","92,00000","1,33400","-1,31600","-0,10300",,"0,19400","20,00000","232,00000","5,00000",,"100,00000",Без дефектов,,,"1,35873","32,00000","45,74125",РРМ 310,"42,84973","19,60000","45,09938",0,"4,00000",H,"4,00000",,"1,06000","59,05000"
п.39114 от 10.01.25 до 10.07.25,"37,40000","90,00000","0,47500","0,05600","-0,30200",,"-0,36200","28,00000","232,00000","6,00000","1,00000","100,00000",Без дефектов,,,"1,59675","20,00000","43,88500",РРМ 310,"41,01629","18,00000","46,88652","1,5","10,00000",H,"7,00000",,"1,16000","61,30000"
п.39118 от 13.01.25 до 13.07.25,"36,60000","134,00000","0,43004","0,22977","0,36019",,"-0,04899","32,00000","249,00000","10,00000",,"110,00000",Без дефектов,,,"1,58423",,"56,80000",РРМ 310,"42,25352","24,00000","54,08451",1,"18,00000",H,"6,00000",,"1,28000","70,30000"
п.39119 от 14.01.25 до 14.07.25,"39,00000","129,00000","0,52400","0,48900","0,13700",,"0,12800","34,00000","249,00000","10,00000",,"110,00000",Соответствует,,,"1,71056",,"55,38409",РРМ 310,"46,81618","26,00000","62,90615",1,"18,00000",H,"6,00000",,"1,34000","70,70000"
п.39122 от 09.01.25 до 09.07.25,"38,90000","91,00000","0,38900","0,29900","-0,11600","0,14900","0,22100","27,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,89982","26,00000","43,24000",РРМ 310,"41,62812","18,00000","52,77273",1,"16,00000",F,"7,00000",,"1,29000","64,80000"
п.39132 от 09.01.25 до 09.07.25,"35,50000","94,00000","0,31339","0,08629","-0,29951",,"0,03256","29,00000","232,00000","6,00000","1,00000","100,00000",Без дефектов,,,"1,61101","26,00000","44,57125",РРМ 310,"40,38478","18,00000","46,69602","1,5","10,00000",H,"7,00000",,"1,17000","62,10000"
п.39135 от 09.01.25 до 09.07.25,"30,20000","93,00000","0,46000","-0,02300","-0,44200",,"-0,12400","29,00000","232,00000","5,00000",,"100,00000",Без дефектов,,,"1,94281","30,00000","38,63045",РРМ 310,"46,59537","18,00000","56,95890",1,"10,00000",H,"7,00000",,"1,27178","61,39612"
п.39139 от 09.01.25 до 09.07.25,"42,70000","100,00000","0,15900","-0,15300","-0,03800",,"-0,02000","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,81564","27,00000","52,81000",РРМ 310,"33,76794","18,00000","45,77233","1,5","10,00000",H,"7,00000",,"1,32000","71,40000"
п.39143 от 10.01.25 до 10.07.25,"42,90000","104,00000","0,19700","0,00700","-0,19700",,"-0,00400","28,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,74431","29,00000","50,78750",РРМ 310,"35,55292","18,00000","45,50376","1,5","10,00000",H,"7,00000",,"1,27000","69,00000"
п.39147 от 09.01.25 до 09.07.25,"41,90000","101,00000","0,36100","0,20100","-0,15700",,"0,25500","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,83083","28,00000","50,30188",РРМ 310,"35,78395","18,00000","47,31495","1,5","10,00000",H,"7,00000",,"1,31000","69,65000"
п.39148 от 13.01.25 до 13.07.25,"3,70000","90,00000","0,12700","0,03000","-0,10600",,"-0,06300","29,00000","232,00000","6,00000",,"120,00000",Соответствует,,,"1,26495",,"49,35739",РРМ 310,"38,54222","19,00000","41,18938","1,5","10,00000",H,"7,00000",,"1,07000","58,35000"
п.39150 от 10.01.25 до 10.07.25,"44,10000","101,00000","0,36000","0,26200","0,11800",,"0,21700","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,66133","27,00000","47,59188",РРМ 310,"37,82158","18,00000","45,75958","1,5","10,00000",H,"7,00000",,"1,21000","65,35000"
п.39151 от 10.01.25 до 10.07.25,"41,50000","94,00000","0,30000","-0,00600","0,23900","0,47000","0,18100","27,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,77942","27,00000","52,63125",РРМ 310,"34,20021","18,00000","45,20746",1,"16,00000",F,"7,00000",,"1,30000","70,85000"
п.39153 от 09.01.25 до 09.07.25,"38,30000","87,00000","0,18100","0,13400","-0,12100","0,22600","0,01300","27,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,90480","26,00000","49,41500",РРМ 310,"34,28629","17,00000","46,39199",1,"16,00000",F,"7,00000",,"1,34000","69,80000"
п.39155 от 09.01.25 до 09.07.25,"37,66000","90,00000","0,46200","-0,11500","-0,30200",,"-0,33000","29,00000","232,00000","6,00000","1,00000","100,00000",Без дефектов,,,"1,62821","20,00000","44,98250",РРМ 310,"40,01556","18,00000","46,74287","1,5","10,00000",H,"7,00000",,"1,18000","62,70000"
п.39156 от 13.01.25 до 13.07.25,"32,70000","70,00000",,,,,,"29,00000","232,00000","6,00000",,"50,00000",Без дефектов,,,"1,67738","26,00000","38,87727",РРМ 310,"15,43318","6,00000","18,36549",3,"3,00000",H,,,"1,19000","54,80000"
п.39157 от 17.01.25 до 17.07.25,"2,00000","95,00000","0,44300","-0,07100","-0,15200",,"-0,41000","29,00000","232,00000","6,00000",,"110,00000",Без дефектов,,,"1,39538",,"48,50795",Полиэфирный 1311Т34 ALBA,"41,23036","20,00000","46,59030","1,5","10,00000",H,"7,00000",,"1,13000","59,90000"
п.39158 от 10.01.25 до 10.07.25,"3,90000","96,00000","0,26700","-0,00400","-0,25800",,"-0,06700","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,26073",,"49,90455",РРМ 310,"37,88806","19,00000","40,73777",1,"10,00000",H,"7,00000",,"1,07000","58,80000"
п.39160 от 09.01.25 до 09.07.25,,"68,00000",,,,,,"29,00000","232,00000","6,00000",,"30,00000",Без дефектов,,,"1,49463","12,00000","40,67500",,"14,61268",,"16,66872",,,,,,"1,13000","53,80000"
п.39161 от 13.01.25 до 13.07.25,"39,10000","96,00000","0,27994","0,10464","0,19482",,"0,17164","30,00000","232,00000","7,00000",,"100,00000",Без дефектов,,,"1,55569","27,00000","45,59063",РРМ 310,"39,54414","18,00000","45,05616","1,5","10,00000",H,"7,00000",,"1,15000","62,15000"
п.39162 от 14.01.25 до 14.07.25,"37,40000","86,00000","0,54300","-0,53400","-0,01300",,"0,09300","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,84380","26,00000","43,88188",РРМ 310,"41,09354","18,00000","51,33563","1,5","10,00000",H,"7,00000",,"1,27000","64,65000"
п.39163 от 14.01.25 до 14.07.25,"3,90000","98,00000","0,22800","0,03600","-0,15300",,"-0,16400","28,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,40344",,"49,67159",РРМ 310,"38,25124","19,00000","43,60641",1,"10,00000",H,"7,00000",,"1,14000","61,15000"
п.39164 от 13.01.25 до 13.07.25,"3,70000","100,00000","0,33500","0,31400","-0,11500",,"-0,02900","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,28009",,"49,98864",РРМ 310,"40,00909","20,00000","43,20982",1,"10,00000",H,"7,00000",,"1,08000","59,25000"
п.39166 от 14.01.25 до 14.07.25,"42,00000","95,00000","0,33500","-0,23600","-0,15800","0,45800","0,17700","27,00000","224,00000","6,00000",,"120,00000",Без дефектов,,,"1,77145","29,00000","50,24000",РРМ 310,"33,83758","17,00000","43,70784",1,"16,00000",F,"7,00000",,"1,28000","68,90000"
п.39168 от 10.01.25 до 10.07.25,,"70,00000",,,,,,"25,00000","232,00000","6,00000",,,Без дефектов,,,"1,46697","10,00000","44,29545",,"13,60509",,"15,44177",,,,,,"1,14000","57,00000"
п.39170 от 10.01.25 до 10.07.25,"37,46000","94,00000","0,23500","0,10500","-0,20900",,"-0,01700","29,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,94861","23,00000","41,82500",РРМ 310,"43,03646","18,00000","54,63386","1,5","10,00000",H,"7,00000",,"1,30000","64,20000"
п.39171 от 14.01.25 до 14.07.25,"38,20000","91,00000","0,24191","-0,16046","-0,06129","0,39700","0,17035","26,00000","224,00000","7,00000",,"120,00000",Без дефектов,,,"1,64269","27,00000","43,80250",РРМ 310,"41,09354","18,00000","47,76804",1,"16,00000",F,"7,00000",,"1,18000","61,90000"
п.39172 от 14.01.25 до 14.07.25,,"69,00000",,,,,,"27,00000","224,00000","5,00000",,"15,00000",Без дефектов,,,"1,50635","13,00000","41,51023",,"12,04522",,"13,73156",,,,,,"1,14000","54,85000"
п.39173 от 13.01.25 до 13.07.25,"37,90000","85,00000","0,38800","0,15600","0,35600",,"0,00600","28,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,64679","25,00000","45,26000",РРМ 310,"39,77022","18,00000","46,90228","1,5","10,00000",H,"7,00000",,"1,19000","63,20000"
п.39174 от 13.01.25 до 13.07.25,"87,32000","131,00000",,,,,,"12,00000",,,,"10,00000",Без дефектов,,,,,,,,"6,00000",,,,,,,"0,98000","38,70000"
п.39175 от 14.01.25 до 14.07.25,"3,80000","95,00000","0,45700","0,35400","-0,24800",,"-0,14700","28,00000","232,00000","6,00000",,"120,00000",Соответствует,,,"1,26542",,"49,29659",РРМ 310,"40,57076","20,00000","43,41071","1,5","10,00000",H,"7,00000",,"1,07000","58,30000"
п.39176 от 13.01.25 до 13.07.25,"3,70000","95,00000","0,26800","0,18900","0,17100",,"-0,08100","28,00000","232,00000","6,00000",,"120,00000",Соответствует,,,"1,35696",,"46,12500",РРМ 310,"41,19241","19,00000","45,31165","1,5","10,00000",H,"7,00000",,"1,10000","56,90000"
п.39177 от 13.01.25 до 13.07.25,"4,40000","89,00000","0,26100","0,18900","0,17000",,"0,06100","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,28760",,"49,06818",РРМ 310,"40,75961","20,00000","44,02038",1,"10,00000",H,"7,00000",,"1,08000","58,50000"
п.39178 от 10.01.25 до 10.07.25,"3,80000","93,00000","0,20600",,"-0,06500",,"0,19600","28,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,25569",,"50,57330",РРМ 310,"39,54656","20,00000","42,31482",1,"10,00000",H,"7,00000",,"1,07000","59,35000"
п.39179 от 15.01.25 до 15.07.25,"3,60000","88,00000","0,12900","0,10700","-0,05400",,"0,04900","24,00000","232,00000","6,00000",,"100,00000",Без дефектов,,,"1,29120",,"48,63864",РРМ 310,"39,06359","19,00000","42,18868","1,5","10,00000",H,"7,00000",,"1,08000","58,15000"
п.39180 от 09.01.25 до 09.07.25,"98,90000","70,00000",,,,,,"12,00000",,"15,20000",,"40,00000",Без дефектов,,,,,,D'LAC WEF 3020,,"4,00000",,,,,,,"1,03000","42,00000"
п.39181 от 09.01.25 до 09.07.25,"36,70000","88,50000","0,42000","0,35400","0,19600",,"0,11200","29,00000","232,00000","6,00000",,"120,00000",Без дефектов,,,"1,84864","27,00000","44,96000",РРМ 310,"40,03559","18,00000","50,72489","1,5","10,00000",H,"7,00000",,"1,28000","65,60000"
